nb_calls,reason,year,month,day,weekday,hour
17,NW,2010,1,7,Thursday,14
120,PS,2010,1,7,Thursday,14
4,TT,2010,1,7,Thursday,14
1,IN,2010,1,7,Thursday,15
12,NE,2010,1,7,Thursday,15
19,NW,2010,1,7,Thursday,15
105,PS,2010,1,7,Thursday,15
4,TT,2010,1,7,Thursday,15
1,IN,2010,1,7,Thursday,16
6,NE,2010,1,7,Thursday,16
120,NW,2010,1,7,Thursday,16
73,PS,2010,1,7,Thursday,16
11,TT,2010,1,7,Thursday,16
5,NE,2010,1,7,Thursday,17
78,NW,2010,1,7,Thursday,17
51,PS,2010,1,7,Thursday,17
3,TT,2010,1,7,Thursday,17
3,IN,2010,1,7,Thursday,18
6,NE,2010,1,7,Thursday,18
39,NW,2010,1,7,Thursday,18
76,PS,2010,1,7,Thursday,18
4,TT,2010,1,7,Thursday,18
8,NW,2010,1,7,Thursday,19
47,PS,2010,1,7,Thursday,19
1,NE,2010,1,7,Thursday,20
3,NW,2010,1,7,Thursday,20
35,PS,2010,1,7,Thursday,20
2,NE,2010,1,7,Thursday,21
4,NW,2010,1,7,Thursday,21
34,PS,2010,1,7,Thursday,21
2,NE,2010,1,7,Thursday,22
2,NW,2010,1,7,Thursday,22
32,PS,2010,1,7,Thursday,22
1,NE,2010,1,7,Thursday,23
3,NW,2010,1,7,Thursday,23
38,PS,2010,1,7,Thursday,23
2,TT,2010,1,7,Thursday,23
1,IN,2010,1,8,Friday,0
1,NE,2010,1,8,Friday,0
23,NW,2010,1,8,Friday,0
38,PS,2010,1,8,Friday,0
1,PS,2010,1,8,Friday,2
1,PS,2010,1,8,Friday,5
1,PS,2010,1,8,Friday,6
1,NW,2010,1,8,Friday,7
22,PS,2010,1,8,Friday,7
32,NW,2010,1,8,Friday,8
45,PS,2010,1,8,Friday,8
1,IN,2010,1,8,Friday,9
9,NW,2010,1,8,Friday,9
45,PS,2010,1,8,Friday,9
1,TT,2010,1,8,Friday,9
4,IN,2010,1,8,Friday,10
1,NE,2010,1,8,Friday,10
8,NW,2010,1,8,Friday,10
58,PS,2010,1,8,Friday,10
1,TT,2010,1,8,Friday,10
