nb_calls,reason,year,month,day,weekday,hour
69,PS,2010,1,14,Thursday,8
20,PS,2010,1,14,Thursday,8
33,PS,2010,1,14,Thursday,8
31,NE,2010,1,14,Thursday,9
21,PS,2010,1,14,Thursday,9
52,PS,2010,1,14,Thursday,9
16,PS,2010,1,14,Thursday,10
41,NE,2010,1,14,Thursday,10
93,PS,2010,1,14,Thursday,10
39,PS,2010,1,14,Thursday,11
18,PS,2010,1,14,Thursday,11
61,PS,2010,1,14,Thursday,11
37,PS,2010,1,14,Thursday,13
16,NE,2010,1,14,Thursday,13
43,PS,2010,1,14,Thursday,13
27,PS,2010,1,14,Thursday,14
26,PS,2010,1,14,Thursday,14
55,PS,2010,1,14,Thursday,14
29,NW,2010,1,14,Thursday,15
22,PS,2010,1,14,Thursday,15
74,PS,2010,1,14,Thursday,15
129,PS,2010,1,14,Thursday,16
22,PS,2010,1,14,Thursday,16
42,PS,2010,1,14,Thursday,16
88,NW,2010,1,14,Thursday,17
27,PS,2010,1,14,Thursday,17
37,NE,2010,1,14,Thursday,17
49,NW,2010,1,14,Thursday,18
19,PS,2010,1,14,Thursday,18
26,PS,2010,1,14,Thursday,18
24,NW,2010,1,14,Thursday,19
19,PS,2010,1,14,Thursday,19
36,PS,2010,1,14,Thursday,19
23,PS,2010,1,14,Thursday,20
5,PS,2010,1,14,Thursday,20
21,PS,2010,1,14,Thursday,20
18,NW,2010,1,14,Thursday,21
30,PS,2010,1,14,Thursday,22
4,PS,2010,1,14,Thursday,22
11,PS,2010,1,14,Thursday,22
22,PS,2010,1,14,Thursday,23
10,PS,2010,1,14,Thursday,23
22,NE,2010,1,14,Thursday,23
52,NW,2010,1,15,Friday,0
4,PS,2010,1,15,Friday,0
5,PS,2010,1,15,Friday,0
2,PS,2010,1,15,Friday,6
24,PS,2010,1,15,Friday,7
64,NW,2010,1,15,Friday,8
4,PS,2010,1,15,Friday,8
5,PS,2010,1,15,Friday,8
80,NW,2010,1,15,Friday,9
7,PS,2010,1,15,Friday,9
22,PS,2010,1,15,Friday,9
42,PS,2010,1,15,Friday,10
10,PS,2010,1,15,Friday,10
23,PS,2010,1,15,Friday,10
62,PS,2010,1,15,Friday,11
3,PS,2010,1,15,Friday,11
20,PS,2010,1,15,Friday,11
36,NW,2010,1,15,Friday,13
2,PS,2010,1,15,Friday,13
4,PS,2010,1,15,Friday,13
21,NE,2010,1,15,Friday,14
2,PS,2010,1,15,Friday,14
2,PS,2010,1,15,Friday,15
3,NW,2010,1,15,Friday,16
1,NW,2010,1,15,Friday,17
1,NW,2010,1,16,Saturday,0
1,NW,2010,1,16,Saturday,14
1,NW,2010,1,16,Saturday,15
3,NW,2010,1,16,Saturday,17
4,NW,2010,1,16,Saturday,18
16,PS,2010,1,16,Saturday,19
20,PS,2010,1,16,Saturday,19
36,PS,2010,1,16,Saturday,19
30,PS,2010,1,16,Saturday,20
4,PS,2010,1,16,Saturday,20
12,PS,2010,1,16,Saturday,20
27,PS,2010,1,16,Saturday,21
1,PS,2010,1,16,Saturday,21
2,PS,2010,1,16,Saturday,21
22,PS,2010,1,16,Saturday,22
1,PS,2010,1,16,Saturday,22
4,PS,2010,1,16,Saturday,22
21,PS,2010,1,16,Saturday,23
1,PS,2010,1,16,Saturday,23
82,PS,2010,1,17,Sunday,0
8,PS,2010,1,17,Sunday,0
14,PS,2010,1,17,Sunday,0
4,PS,2010,1,17,Sunday,1
1,PS,2010,1,17,Sunday,5
4,PS,2010,1,17,Sunday,6
27,PS,2010,1,17,Sunday,7
6,PS,2010,1,17,Sunday,7
7,PS,2010,1,17,Sunday,7
60,NW,2010,1,17,Sunday,8
6,PS,2010,1,17,Sunday,8
17,PS,2010,1,17,Sunday,8
42,PS,2010,1,17,Sunday,9
20,PS,2010,1,17,Sunday,9
54,PS,2010,1,17,Sunday,9
53,PS,2010,1,17,Sunday,10
17,PS,2010,1,17,Sunday,10
57,PS,2010,1,17,Sunday,10
63,PS,2010,1,17,Sunday,11
13,PS,2010,1,17,Sunday,11
39,PS,2010,1,17,Sunday,11
85,NE,2010,1,17,Sunday,13
12,PS,2010,1,17,Sunday,13
19,PS,2010,1,17,Sunday,13
75,PS,2010,1,17,Sunday,14
13,PS,2010,1,17,Sunday,14
24,PS,2010,1,17,Sunday,14
60,PS,2010,1,17,Sunday,15
15,PS,2010,1,17,Sunday,15
64,PS,2010,1,17,Sunday,15
137,NW,2010,1,17,Sunday,16
13,NW,2010,1,17,Sunday,16
30,PS,2010,1,17,Sunday,16
95,NW,2010,1,17,Sunday,17
22,PS,2010,1,17,Sunday,17
29,PS,2010,1,17,Sunday,17
37,NW,2010,1,17,Sunday,18
15,PS,2010,1,17,Sunday,18
28,PS,2010,1,17,Sunday,18
45,PS,2010,1,17,Sunday,19
9,PS,2010,1,17,Sunday,19
16,PS,2010,1,17,Sunday,19
41,PS,2010,1,17,Sunday,20
2,PS,2010,1,17,Sunday,20
5,PS,2010,1,17,Sunday,20
31,PS,2010,1,17,Sunday,21
4,PS,2010,1,17,Sunday,21
10,PS,2010,1,17,Sunday,21
18,PS,2010,1,17,Sunday,22
9,PS,2010,1,17,Sunday,22
8,PS,2010,1,17,Sunday,22
