year,month,day,hour,reason
2016,11,4,18,AA
2016,11,4,19,AA
2016,11,4,20,AA
2016,11,4,21,AA
2016,11,4,22,AA
2016,11,4,23,AA
2016,11,5,0,AA
2016,11,5,1,AA
2016,11,5,2,AA
2016,11,5,3,AA
2016,11,5,4,AA
2016,11,5,5,AA
2016,11,5,6,AA
2016,11,5,7,AA
2016,11,5,8,AA
2016,11,5,9,AA
2016,11,5,10,AA
2016,11,5,11,AA
2016,11,5,12,AA
2016,11,5,13,AA
2016,11,5,14,AA
2016,11,5,15,AA
2016,11,5,16,AA
2016,11,5,17,AA
2016,11,5,18,AA
2016,11,5,19,AA
2016,11,5,20,AA
2016,11,5,21,AA
2016,11,5,22,AA
2016,11,5,23,AA
2016,11,6,0,AA
2016,11,6,1,AA
2016,11,6,2,AA
2016,11,6,3,AA
2016,11,6,4,AA
2016,11,6,5,AA
2016,11,6,6,AA
2016,11,6,7,AA
2016,11,6,8,AA
2016,11,6,9,AA
2016,11,6,10,AA
2016,11,6,11,AA
2016,11,6,12,AA
2016,11,6,13,AA
2016,11,6,14,AA
2016,11,6,15,AA
2016,11,6,16,AA
2016,11,6,17,AA
2016,11,6,18,AA
2016,11,6,19,AA
2016,11,6,20,AA
2016,11,6,21,AA
2016,11,6,22,AA
2016,11,6,23,AA
2016,11,7,0,AA
2016,11,7,1,AA
2016,11,7,2,AA
2016,11,7,3,AA
2016,11,7,4,AA
2016,11,7,5,AA
2016,11,7,6,AA
2016,11,7,7,AA
2016,11,7,8,AA
2016,11,7,9,AA
2016,11,7,10,AA
2016,11,7,11,AA
2016,11,7,12,AA
2016,11,7,13,AA
2016,11,7,14,AA
2016,11,7,15,AA
2016,11,7,16,AA
2016,11,7,17,AA
2016,11,7,18,AA
2016,11,7,19,AA
2016,11,7,20,AA
2016,11,7,21,AA
2016,11,7,22,AA
2016,11,7,23,AA
2016,11,8,0,AA
2016,11,8,1,AA
2016,11,8,2,AA
2016,11,8,3,AA
2016,11,8,4,AA
2016,11,8,5,AA
2016,11,8,6,AA
2016,11,8,7,AA
2016,11,8,8,AA
2016,11,8,9,AA
2016,11,8,10,AA
2016,11,8,11,AA
2016,11,8,12,AA
2016,11,8,13,AA
2016,11,8,14,AA
2016,11,8,15,AA
2016,11,8,16,AA
2016,11,8,17,AA
2016,11,8,18,AA
2016,11,8,19,AA
2016,11,8,20,AA
2016,11,8,21,AA
2016,11,8,22,AA
2016,11,8,23,AA
2016,11,9,0,AA
2016,11,9,1,AA
2016,11,9,2,AA
2016,11,9,3,AA
2016,11,9,4,AA
2016,11,9,5,AA
2016,11,9,6,AA
2016,11,9,7,AA
2016,11,9,8,AA
2016,11,9,9,AA
2016,11,9,10,AA
2016,11,9,11,AA
2016,11,9,12,AA
2016,11,9,13,AA
2016,11,9,14,AA
2016,11,9,15,AA
2016,11,9,16,AA
2016,11,9,17,AA
2016,11,9,18,AA
2016,11,9,19,AA
2016,11,9,20,AA
2016,11,9,21,AA
2016,11,9,22,AA
2016,11,9,23,AA
2016,11,10,0,AA
2016,11,10,1,AA
2016,11,10,2,AA
2016,11,10,3,AA
2016,11,10,4,AA
2016,11,10,5,AA
2016,11,10,6,AA
2016,11,10,7,AA
